CCN,Facility Name,Address,City,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for birthing friendly designation,Hospital_overall_rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,MSPB_Ratio,Total_Performance_Score,Domain_Clinical_Score,Domain_Safety_Score,Domain_Engagement_Score,Domain_Efficiency_Score,HCAHPS_H_CLEAN_HSP_A_P,HCAHPS_H_CLEAN_HSP_SN_P,HCAHPS_H_CLEAN_HSP_U_P,HCAHPS_H_CLEAN_LINEAR_SCORE,HCAHPS_H_CLEAN_STAR_RATING,HCAHPS_H_COMP_1_A_P,HCAHPS_H_COMP_1_LINEAR_SCORE,HCAHPS_H_COMP_1_SN_P,HCAHPS_H_COMP_1_STAR_RATING,HCAHPS_H_COMP_1_U_P,HCAHPS_H_COMP_2_A_P,HCAHPS_H_COMP_2_LINEAR_SCORE,HCAHPS_H_COMP_2_SN_P,HCAHPS_H_COMP_2_STAR_RATING,HCAHPS_H_COMP_2_U_P,HCAHPS_H_COMP_5_A_P,HCAHPS_H_COMP_5_LINEAR_SCORE,HCAHPS_H_COMP_5_SN_P,HCAHPS_H_COMP_5_STAR_RATING,HCAHPS_H_COMP_5_U_P,HCAHPS_H_COMP_6_LINEAR_SCORE,HCAHPS_H_COMP_6_N_P,HCAHPS_H_COMP_6_STAR_RATING,HCAHPS_H_COMP_6_Y_P,HCAHPS_H_DISCH_HELP_N_P,HCAHPS_H_DISCH_HELP_Y_P,HCAHPS_H_DOCTOR_EXPLAIN_A_P,HCAHPS_H_DOCTOR_EXPLAIN_SN_P,HCAHPS_H_DOCTOR_EXPLAIN_U_P,HCAHPS_H_DOCTOR_LISTEN_A_P,HCAHPS_H_DOCTOR_LISTEN_SN_P,HCAHPS_H_DOCTOR_LISTEN_U_P,HCAHPS_H_DOCTOR_RESPECT_A_P,HCAHPS_H_DOCTOR_RESPECT_SN_P,HCAHPS_H_DOCTOR_RESPECT_U_P,HCAHPS_H_HSP_RATING_0_6,HCAHPS_H_HSP_RATING_7_8,HCAHPS_H_HSP_RATING_9_10,HCAHPS_H_HSP_RATING_LINEAR_SCORE,HCAHPS_H_HSP_RATING_STAR_RATING,HCAHPS_H_MED_FOR_A_P,HCAHPS_H_MED_FOR_SN_P,HCAHPS_H_MED_FOR_U_P,HCAHPS_H_NURSE_EXPLAIN_A_P,HCAHPS_H_NURSE_EXPLAIN_SN_P,HCAHPS_H_NURSE_EXPLAIN_U_P,HCAHPS_H_NURSE_LISTEN_A_P,HCAHPS_H_NURSE_LISTEN_SN_P,HCAHPS_H_NURSE_LISTEN_U_P,HCAHPS_H_NURSE_RESPECT_A_P,HCAHPS_H_NURSE_RESPECT_SN_P,HCAHPS_H_NURSE_RESPECT_U_P,HCAHPS_H_QUIET_HSP_A_P,HCAHPS_H_QUIET_HSP_SN_P,HCAHPS_H_QUIET_HSP_U_P,HCAHPS_H_QUIET_LINEAR_SCORE,HCAHPS_H_QUIET_STAR_RATING,HCAHPS_H_RECMND_DN,HCAHPS_H_RECMND_DY,HCAHPS_H_RECMND_LINEAR_SCORE,HCAHPS_H_RECMND_PY,HCAHPS_H_RECMND_STAR_RATING,HCAHPS_H_SIDE_EFFECTS_A_P,HCAHPS_H_SIDE_EFFECTS_SN_P,HCAHPS_H_SIDE_EFFECTS_U_P,HCAHPS_H_STAR_RATING,HCAHPS_H_SYMPTOMS_N_P,HCAHPS_H_SYMPTOMS_Y_P,Readmission_EDAC_30_AMI,Readmission_EDAC_30_HF,Readmission_EDAC_30_PN,Readmission_READM_30_AMI,Readmission_READM_30_CABG,Readmission_READM_30_COPD,Readmission_READM_30_HF,Readmission_READM_30_HIP_KNEE,Readmission_READM_30_PN,Payment_Adjustment_Percent,Cluster_Label
010022,FLOYD CHEROKEE MEDICAL CENTER,400 NORTHWOOD DR,CENTRE,AL,35960,CHEROKEE,(256) 927-5531,Acute Care Hospitals,Proprietary,Yes,,,16,8,1,0,1,0,,8,1,0,1,0,,11,2,0,2,0,,15,,5,10,5,,0.97,,,,,,69,10,21,,,87,,3,,10,87,,2,,11,74,,13,,13,,13,,87,,,,,,,,,,,,2,20,78,,,,,,,,,,,,,,,82,3,15,,,2,72,,26,,,,,,,,,,-5.8,,,,,,15.5,,Average Performers
010023,BAPTIST MEDICAL CENTER SOUTH,2105 EAST SOUTH BOULEVARD,MONTGOMERY,AL,36116,MONTGOMERY,(334) 288-2100,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,8,8,0,7,1,,8,7,2,4,1,,11,11,1,8,2,,15,15,,10,7,,1.01,29.083333333333,6.250000000000,7.083333333333,10.750000000000,5.000000000000,68,13,19,,,75,,6,,19,76,,6,,18,62,,21,,17,,16,,84,18,82,70,9,21,75,6,19,82,4,14,11,21,68,,,75,12,13,72,8,20,72,8,20,81,4,15,58,12,30,,,7,67,,26,,49,30,21,,14,86,-0.1,23.4,41.9,13.6,11.5,19,20.8,4.6,16.7,-0.0449,Low Value
010024,JACKSON HOSPITAL & CLINIC INC,1725 PINE STREET,MONTGOMERY,AL,36106,MONTGOMERY,(334) 293-8000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,2,,8,8,0,7,1,,8,6,0,4,2,,11,10,0,10,0,,15,15,,10,9,,1.02,30.916666666667,8.500000000000,10.416666666667,7.000000000000,5.000000000000,59,19,22,,,80,,6,,14,80,,6,,14,59,,24,,17,,17,,83,22,78,76,7,17,77,6,17,86,4,10,11,22,67,,,74,12,14,76,8,16,78,6,16,85,4,11,69,9,22,,,7,68,,25,,44,35,21,,13,87,0.6,0.2,10.2,13.8,9.9,17.4,20,,16,0.2195,Average Performers
010029,THE EAST ALABAMA HEALTHCARE AUTHORITY,2000 PEPPERELL PARKWAY,OPELIKA,AL,36801,LEE,(334) 528-1300,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,8,8,0,8,0,,8,8,1,7,0,,11,11,0,9,2,,15,15,,10,9,,0.96,27.416666666667,1.666666666667,6.250000000000,12.000000000000,7.500000000000,70,8,22,,,80,,4,,16,82,,4,,14,66,,18,,16,,14,,86,18,82,77,6,17,82,4,14,87,2,11,6,21,73,,,81,7,12,75,6,19,76,5,19,88,2,10,65,5,30,,,4,72,,24,,51,29,20,,10,90,42.4,36.7,-7.9,14,10,17.1,19.9,4.8,14.3,-0.2987,Low Value
010033,UNIVERSITY OF ALABAMA HOSPITAL,619 SOUTH 19TH STREET,BIRMINGHAM,AL,35233,JEFFERSON,(205) 934-4011,Acute Care Hospitals,Government - State,Yes,Y,2,,8,8,0,7,1,,8,8,4,4,0,,11,11,0,8,3,,15,15,,10,8,,0.97,28.750000000000,7.083333333333,6.666666666667,12.500000000000,2.500000000000,62,14,24,,,78,,5,,17,80,,5,,15,61,,19,,20,,11,,89,12,88,75,6,19,79,5,16,86,3,11,8,18,74,,,74,9,17,74,6,20,75,5,20,84,3,13,58,11,31,,,4,79,,17,,48,30,22,,10,90,39.4,5.8,38.3,15.9,13.6,17.6,19.3,6.6,17.7,-0.0792,Low Value
010034,COMMUNITY HOSPITAL INC,805 FRIENDSHIP ROAD,TALLASSEE,AL,36078,ELMORE,(334) 283-6541,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,16,8,1,0,1,0,,8,,,,,5,11,2,0,2,0,,15,5,,10,5,,0.98,,,,,,78,5,17,,,85,,5,,10,81,,8,,11,72,,13,,15,,11,,89,,,,,,,,,,,,15,19,66,,,,,,,,,,,,,,,75,2,23,,,15,66,,19,,,,,,,,,,,,,,,,,,Average Performers
010035,CULLMAN REGIONAL MEDICAL CENTER,1912 ALABAMA HIGHWAY 157,CULLMAN,AL,35058,CULLMAN,(256) 737-2000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,2,,8,7,0,6,1,,8,7,1,6,0,,11,7,1,6,0,,15,15,,10,10,,0.99,22.916666666667,2.500000000000,10.416666666667,7.500000000000,2.500000000000,69,8,23,,,81,,4,,15,78,,6,,16,59,,23,,18,,17,,83,17,83,73,8,19,77,7,16,84,3,13,8,23,69,,,73,12,15,76,6,18,79,5,16,88,1,11,68,4,28,,,6,64,,30,,44,34,22,,17,83,,-36.8,1.3,14.2,,19.5,19.2,4.3,15.8,-0.9139,Emerging Performers
010036,ANDALUSIA HEALTH,849 SOUTH THREE NOTCH STREET,ANDALUSIA,AL,36420,COVINGTON,(334) 222-8466,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,5,0,5,0,,8,3,0,3,0,,11,7,0,6,1,,15,15,,10,8,,0.95,31.375000000000,0.625000000000,16.250000000000,9.500000000000,5.000000000000,62,17,21,,,79,,4,,17,80,,4,,16,64,,18,,18,,22,,78,24,76,76,5,19,79,4,17,85,3,12,13,25,62,,,76,8,16,77,4,19,76,5,19,85,4,11,57,8,35,,,9,58,,33,,52,29,19,,19,81,,41.7,-12.4,,,17.5,20.5,5.5,15.1,0.3093,Average Performers
010039,HUNTSVILLE HOSPITAL,101 SIVLEY RD,HUNTSVILLE,AL,35801,MADISON,(256) 265-1000,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,8,8,0,5,3,,8,8,2,5,1,,11,11,2,7,2,,15,15,,10,10,,1.03,18.250000000000,4.583333333333,4.166666666667,9.500000000000,0.000000000000,68,12,20,,,79,,4,,17,81,,5,,14,61,,22,,17,,12,,88,14,86,76,6,18,79,5,16,87,3,10,7,23,70,,,76,10,14,75,5,20,77,4,19,85,3,12,62,10,28,,,4,76,,20,,46,33,21,,11,89,-8.2,16,6.1,12.1,9.1,17.6,19.5,5.1,14.7,-1.5602,Emerging Performers
010040,GADSDEN REGIONAL MEDICAL CENTER,1007 GOODYEAR AVENUE,GADSDEN,AL,35903,ETOWAH,(256) 494-4000,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,8,0,7,1,,8,8,3,4,1,,11,9,0,8,1,,15,15,,10,9,,1.07,24.666666666667,5.833333333333,12.083333333333,6.750000000000,0.000000000000,61,16,23,,,73,,7,,20,74,,7,,19,57,,27,,16,,18,,82,20,80,70,8,22,72,9,19,80,5,15,17,29,54,,,70,13,17,68,9,23,72,7,21,79,5,16,59,11,30,,,11,56,,33,,45,41,14,,16,84,-12.3,20,8,13.3,12.4,18.1,19.1,5.4,16.2,-0.6756,Average Performers
010044,MARION REGIONAL MEDICAL CENTER,1256 MILITARY STREET SOUTH,HAMILTON,AL,35570,MARION,(205) 921-6200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,3,,8,3,0,3,0,,8,,,,,5,11,4,1,3,0,,15,,5,10,6,,1.07,,,,,,91,1,8,,,90,,0,,10,86,,3,,11,76,,11,,13,,9,,91,7,93,81,4,15,86,2,12,90,2,8,3,14,83,,,79,6,15,89,0,11,88,1,11,91,1,8,73,4,23,,,3,86,,11,,74,16,10,,12,88,,-37.4,-13.4,,,,18.6,,16,,Cost Efficient / Lower Quality
010045,FAYETTE MEDICAL CENTER,1653 TEMPLE AVENUE NORTH,FAYETTE,AL,35555,FAYETTE,(205) 932-5966,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,4,,8,4,0,4,0,,8,1,0,1,0,,11,5,1,4,0,,15,15,,10,7,,0.93,34.333333333333,0.833333333333,2.500000000000,23.500000000000,7.500000000000,84,0,16,,,87,,1,,12,90,,1,,9,66,,16,,18,,10,,90,10,90,89,1,10,89,3,8,93,1,6,1,13,86,,,80,8,12,82,3,15,88,1,11,92,1,7,77,2,21,,,3,82,,15,,51,23,26,,9,91,,-25,-38.3,,,18.4,19.7,,15.9,0.6993,Cost Efficient / Lower Quality
010046,RIVERVIEW REGIONAL MEDICAL CENTER,600 SOUTH THIRD STREET,GADSDEN,AL,35901,ETOWAH,(256) 543-5200,Acute Care Hospitals,Proprietary,Yes,,3,,8,7,0,7,0,,8,6,3,3,0,,11,8,0,6,2,,15,15,,10,8,,0.97,27.750000000000,2.500000000000,15.500000000000,9.750000000000,0.000000000000,69,13,18,,,77,,6,,17,73,,10,,17,61,,18,,21,,13,,87,12,88,70,11,19,72,9,19,78,9,13,7,27,66,,,76,10,14,74,7,19,75,8,17,83,4,13,62,9,29,,,6,74,,20,,47,26,27,,14,86,29.8,13.8,18.1,13.7,,19.4,21.7,5,17.9,-0.2334,Low Value
010049,MEDICAL CENTER ENTERPRISE,400 N EDWARDS STREET,ENTERPRISE,AL,36330,COFFEE,(334) 347-0584,Acute Care Hospitals,Proprietary,Yes,Y,4,,8,5,0,5,0,,8,3,1,2,0,,11,7,1,6,0,,15,15,,10,10,,0.91,39.750000000000,0.000000000000,16.250000000000,13.500000000000,10.000000000000,66,15,19,,,82,,4,,14,82,,5,,13,63,,19,,18,,15,,85,15,85,78,5,17,79,5,16,88,3,9,10,22,68,,,78,9,13,76,5,19,80,3,17,88,3,9,68,8,24,,,7,60,,33,,47,28,25,,14,86,,-29.4,14.6,,,18.6,18.7,4,16,1.1816,High Value
010051,GREENE COUNTY HOSPITAL,509 WILSON AVENUE,EUTAW,AL,35462,GREENE,(205) 372-3388,Acute Care Hospitals,Voluntary non-profit - Other,Yes,,,16,8,,,,,5,8,,,,,5,11,,,,,5,15,,5,10,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average Performers
010052,LAKE MARTIN COMMUNITY HOSPITAL,201 MARIARDEN ROAD,DADEVILLE,AL,36853,TALLAPOOSA,(256) 825-7821,Acute Care Hospitals,Proprietary,Yes,,,16,8,2,0,2,0,,8,,,,,5,11,2,0,2,0,,15,10,,10,6,,0.78,,,,,,80,6,14,,,82,,2,,16,86,,2,,12,73,,6,,21,,7,,93,6,94,82,1,17,87,3,10,90,2,8,1,20,79,,,89,2,9,77,2,21,80,4,16,90,2,8,68,2,30,,,2,76,,22,,58,11,31,,7,93,,,-9.8,,,,,,16.2,,Average Performers
010055,FLOWERS HOSPITAL,4370 WEST MAIN STREET,DOTHAN,AL,36302,HOUSTON,(334) 793-5000,Acute Care Hospitals,Proprietary,Yes,Y,2,,8,8,0,8,0,,8,8,4,4,0,,11,9,0,7,2,,15,15,,10,9,,1.01,32.583333333333,1.250000000000,19.583333333333,11.750000000000,0.000000000000,68,12,20,,,77,,6,,17,78,,6,,16,62,,21,,17,,16,,84,20,80,74,8,18,75,6,19,85,4,11,11,21,68,,,75,11,14,71,7,22,74,7,19,85,3,12,62,9,29,,,8,68,,24,,50,30,20,,13,87,17.5,1.3,4.5,14.5,11.9,17.2,19.2,6.6,16.7,0.4733,Average Performers
010056,ST VINCENT'S BIRMINGHAM,810 ST VINCENT'S DRIVE,BIRMINGHAM,AL,35205,JEFFERSON,(205) 939-7000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,3,29,8,8,0,8,0,29,8,7,1,6,0,29,11,9,1,6,2,29,15,10,29,10,7,29,0.95,,,,,,55,20,25,,,73,,7,,20,78,,6,,16,54,,27,,19,,16,,84,18,82,73,7,20,75,6,19,85,4,11,13,21,66,,,70,13,17,69,7,24,69,9,22,80,5,15,65,6,29,,,8,71,,21,,38,42,20,,14,86,9,21,32.4,14.6,11.5,18,19.3,5.4,17.2,,Average Performers
010058,BIBB MEDICAL CENTER,208 PIERSON AVE,CENTREVILLE,AL,35042,BIBB,(205) 926-4881,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,,16,8,2,0,2,0,,8,,,,,5,11,2,1,1,0,,15,5,,10,6,,1.06,,,,,,71,5,24,,,88,,1,,11,87,,1,,12,62,,31,,7,,11,,89,,,,,,,,,,,,6,27,67,,,,,,,,,,,,,,,60,2,38,,,6,69,,25,,,,,,,,,,-30.6,,,,,,14.9,,Cost Efficient / Lower Quality
010061,HIGHLANDS MEDICAL CENTER,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,JACKSON,(256) 259-4444,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,3,,8,5,0,5,0,,8,2,1,1,0,,11,6,1,5,0,,15,15,,10,8,,0.94,38.500000000000,0.000000000000,12.500000000000,13.500000000000,12.500000000000,83,4,13,,,85,,2,,13,86,,4,,10,68,,14,,18,,15,,85,15,85,84,5,11,86,5,9,88,3,9,9,20,71,,,79,9,12,80,3,17,86,3,11,90,2,8,75,6,19,,,7,64,,29,,57,19,24,,15,85,,-53.6,13.1,,,18.4,18.6,,15.4,1.0714,Cost Efficient / Lower Quality
